Luke source,flag,fielding.start,fielding.end,pollster,source,interview.mode,publisher,publication.date,sample,DKrefused.reported,DKrefused.combined,DK.reported,DK,refused.reported,refused,Coalition.TPP.reported,Labor.TPP.reported,Coalition.TPP.previouselectionallocation,Labor.TPP.previouselectionallocation,Coalition.TPP.voterallocation,Labor.TPP.voterallocation,Coalition.total.primary,Liberal.primary,National.primary,Labor.primary,Green.primary,FamilyFirst.primary,Democrats.primary,OneNation.primary,XenophonCentreAlliance.primary,UAP.PUP.primary,KattersAustraliaParty.primary,Independent.primary,Other.primary,undecided.primary,sampleSize.published
,FALSE,22/3/13,25/3/13,AMR,http://www.amr-australia.com/asset/cms/AMR_Federal_Poll_28.03.2013.pdf,online,,,1072,,,,,,,56,44,,,,,49,FALSE,FALSE,33,9,0,0,0,,,,,9,,1072
,FALSE,5/7/13,8/7/13,AMR,http://www.amr-australia.com/asset/cms/AMR_Federal_Poll_10.07.2013.pdf,online,,,1107,,,,,,,49,51,,,,,43,FALSE,FALSE,42,7,0,0,0,,,,,8,,1107
,FALSE,16/8/13,18/8/13,AMR,http://www.amr-australia.com/asset/cms/AMR_Federal_Election_Poll_19.08.2013.pdf,online,,,1134,,,,,,,50,50,,,,,41,FALSE,FALSE,38,10,0,0,0,,,,,11,,1134
,FALSE,30/8/13,2/9/13,AMR,,online,,,1101,,,,,,,53,47,,,,,44,FALSE,FALSE,34,10,0,0,0,,,,,12,,1101
,FALSE,3/12/07,9/12/07,Essential,,online,,,856.5,,,,,,,42,58,,,,,34,32,2,49,6,2,2,2,,,,,4,,901
,FALSE,10/12/07,16/12/07,Essential,,online,,,845,,,,,,,38,62,,,,,30,29,1,52,8,4,2,1,,,,,4,,908
,FALSE,17/12/07,21/12/07,Essential,,online,,,847.5,,,,,,,38,62,,,,,32,31,1,50,11,3,1,1,,,,,3,,895
,FALSE,7/1/08,13/1/08,Essential,,online,,,846.5,,,,,,,41,59,,,,,34,32,2,48,9,3,2,1,,,,,2,,851
,FALSE,15/1/08,20/1/08,Essential,Kath Murphy's partner's spreadsheet,online,,,856.5,,,,,,,41,59,,,,,35,34,2,49,7,2,1,2,,,,,3,,1713
,FALSE,22/1/08,27/1/08,Essential,Kath Murphy's partner's spreadsheet,online,,,855,,,,,,,41,59,,,,,35,33,1,50,9,2,1,1,,,,,3,,1710
,FALSE,29/1/08,3/2/08,Essential,Kath Murphy's partner's spreadsheet,online,,,845,,,,,,,41,59,,,,,36,34,2,47,7,4,2,1,,,,,3,,1690
,FALSE,5/2/08,10/2/08,Essential,Kath Murphy's partner's spreadsheet,online,,,847.5,,,,,,,42,58,,,,,35,32,3,47,9,3,1,1,,,,,5,,1695
,FALSE,12/2/08,17/2/08,Essential,Kath Murphy's partner's spreadsheet,online,,,862.5,,,,,,,42,58,,,,,35,34,2,47,9,3,1,1,,,,,3,,1725
,FALSE,19/2/08,24/2/08,Essential,Kath Murphy's partner's spreadsheet,online,,,846.5,,,,,,,39,61,,,,,33,27,2,55,8,3,1,2,,,,,2,,1693
,FALSE,26/2/08,2/3/08,Essential,Kath Murphy's partner's spreadsheet,online,,,831.5,,,,,,,35,65,,,,,30,29,1,55,8,3,1,1,,,,,2,,1663
,FALSE,4/3/08,9/3/08,Essential,Kath Murphy's partner's spreadsheet,online,,,843,,,,,,,37,63,,,,,31,29,3,51,8,3,2,2,,,,,2,,1686
,FALSE,11/3/08,16/3/08,Essential,Kath Murphy's partner's spreadsheet,online,,,835,,,,,,,41,59,,,,,34,34,3,45,10,3,2,2,,,,,3,,1670
,FALSE,18/3/08,23/3/08,Essential,Kath Murphy's partner's spreadsheet,online,,,836.5,,,,,,,42,58,,,,,34,31,2,49,7,3,1,2,,,,,4,,1673
,FALSE,25/3/08,30/3/08,Essential,Kath Murphy's partner's spreadsheet,online,,,849.5,,,,,,,40,60,,,,,34,32,1,50,8,2,1,1,,,,,3,,1699
,FALSE,1/4/08,6/4/08,Essential,Kath Murphy's partner's spreadsheet,online,,,838.5,,,,,,,39,61,,,,,33,30,3,51,7,3,1,1,,,,,3,,1677
,FALSE,8/4/08,13/4/08,Essential,Kath Murphy's partner's spreadsheet,online,,,789.5,,,,,,,39,61,,,,,34,32,2,53,7,3,1,0,,,,,4,,1579
,FALSE,15/4/08,20/4/08,Essential,Kath Murphy's partner's spreadsheet,online,,,824,,,,,,,42,58,,,,,37,36,5,45,6,2,1,3,,,,,4,,1648
,FALSE,22/4/08,27/4/08,Essential,Kath Murphy's partner's spreadsheet,online,,,866,,,,,,,42,58,,,,,36,30,2,52,6,4,2,1,,,,,4,,1732
,FALSE,29/4/08,4/5/08,Essential,Kath Murphy's partner's spreadsheet,online,,,834.5,,,,,,,38,62,,,,,31,28,3,52,8,3,1,1,,,,,2,,1669
,FALSE,6/5/08,11/5/08,Essential,Kath Murphy's partner's spreadsheet,online,,,830.5,,,,,,,38,62,,,,,31,31,2,51,7,2,2,1,,,,,5,,1661
,FALSE,13/5/08,18/5/08,Essential,Kath Murphy's partner's spreadsheet,online,,,835,,,,,,,39,61,,,,,32,30,2,48,10,4,2,2,,,,,4,,1670
,FALSE,20/5/08,25/5/08,Essential,Kath Murphy's partner's spreadsheet,online,,,836,,,,,,,40,60,,,,,33,32,2,48,7,2,2,2,,,,,5,,1672
,FALSE,27/5/08,1/6/08,Essential,Kath Murphy's partner's spreadsheet,online,,,836,,,,,,,44,56,,,,,37,37,2,43,7,3,2,1,,,,,7,,1672
,FALSE,3/6/08,8/6/08,Essential,Kath Murphy's partner's spreadsheet,online,,,837.5,,,,,,,42,58,,,,,35,28,1,50,9,3,2,1,,,,,4,,1675
,FALSE,10/6/08,15/6/08,Essential,Kath Murphy's partner's spreadsheet,online,,,846.5,,,,,,,40,60,,,,,34,35,2,50,6,3,2,1,,,,,3,,1693
,FALSE,17/6/08,22/6/08,Essential,http://blogs.crikey.com.au/pollbludger/files/old/EssentialReport_230608.pdf,online,,,855,,,,,,,41,59,,,,,34,29,3,48,9,4,2,1,,,,,3,,1710
,FALSE,24/6/08,29/6/08,Essential,Kath Murphy's partner's spreadsheet,online,,,873.5,,,,,,,39,61,,,,,31,29,2,49,11,3,1,2,,,,,3,,1747
,FALSE,1/7/08,6/7/08,Essential,Kath Murphy's partner's spreadsheet,online,,,875.5,,,,,,,38,62,,,,,31,29,2,51,8,3,1,1,,,,,5,,1751
,FALSE,8/7/08,13/7/08,Essential,http://blogs.crikey.com.au/pollbludger/files/old/EssentialReport_140708.pdf,online,,,850,,,,,,,41,59,,,,,34,32,3,44,9,3,2,1,,,,,5,,1700
,FALSE,15/7/08,19/7/08,Essential,Kath Murphy's partner's spreadsheet,online,,,858,,,,,,,43,57,,,,,35,32,3,46,9,3,1,1,,,,,5,,1716
,FALSE,22/7/08,26/7/08,Essential,Kath Murphy's partner's spreadsheet,online,,,851.5,,,,,,,42,58,,,,,35,33,2,47,9,3,1,1,,,,,4,,1703
,FALSE,29/7/08,3/8/08,Essential,http://blogs.crikey.com.au/pollbludger/files/old/EssentialReport_040808.pdf,online,,,710,,,,,,,42,58,,,,,36,32,3,46,9,3,0,2,,,,,6,,1420
