date,fielding.start,fielding.end,pollster,sample,LNP,ALP,GRN,OTH,PUP,KAP,NXT,LNP2PP,ALP2PP,Uncommitted,source,LNP.uncommitted.included,ALP.uncommitted.included,GRN.uncommitted.included,OTH.uncommitted.included,PUP.uncommitted.included,KAP.uncommitted.included,NXT.uncommitted.included
14/9/13,12/9/13,15/9/13,Essential,1071.4,43.618202,36.95893452,9.433962264,9.988901221,,,,51.4,48.6,,,,,,,,,
21/9/13,19/7/13,22/9/13,Essential,1083.5,42.03045685,37.56345178,9.137055838,11.26903553,,,,50.5,49.5,,,,,,,,,
21/9/13,21/9/13,22/9/13,Morgan,2999,43.5,34,10.5,8,4,,,50.5,49.5,0.5,http://www.roymorgan.com/findings/5200-morgan-poll-september-24-2013-201309240354,,,,,,,
28/9/13,26/9/13,29/9/13,Essential,1015.3,43.98699892,35.10292524,8.775731311,12.13434453,,,,52.9,47.1,,,,,,,,,
5/10/13,3/10/13,6/10/13,Essential,1035.1,42.7205101,35.49415515,9.458023379,12.32731137,,,,51.9,48.1,,,,,,,,,
6/10/13,5/10/13,6/10/13,Morgan,3199,42,37,9,7.5,4.5,,,49.5,50.5,1.5,http://www.roymorgan.com/findings/5234-federal-vote-october-8-2013-201310080550,,,,,,,
10/10/13,10/10/13,10/10/13,ReachTEL,3636,45.4,35.3,8.6,4.9,5.7,,,52.1,47.9,,https://www.reachtel.com.au/blog/7-news-national-poll-10october2013,,,,,,,
12/10/13,10/10/13,13/10/13,Essential,1038.4,44.27966102,34.4279661,9.745762712,11.54661017,,,,53.1,46.9,,,,,,,,,
19/10/13,17/10/13,20/10/13,Essential,1012,44.23913043,34.13043478,10.43478261,11.19565217,,,,53,47,,,,,,,,,
20/10/13,19/10/13,20/10/13,Morgan,3280,43.5,34.5,10,7.5,4.5,,,51.5,48.5,2.5,http://www.roymorgan.com/findings/5254-morgan-poll-federal-voting-intention-october-21-2013-201310210405,,,,,,,
26/10/13,24/10/13,27/10/13,Essential,1076.9,45.65883555,35.75076609,8.580183861,10.0102145,,,,53.3,46.7,,,,,,,,,
26/10/13,25/10/13,27/10/13,Newspoll,1142,47,31,10,12,,,,56,44,6,Newspoll PDF,,,,,,,
2/11/13,31/10/13,3/11/13,Essential,1089,44.64646465,35.85858586,7.777777778,11.71717172,,,,53.1,46.9,,,,,,,,,
3/11/13,2/11/13,3/11/13,Morgan,2077,41.5,35,10.5,7.5,5.5,,,50,50,0.5,http://www.roymorgan.com/findings/5279-morgan-poll-federal-voting-intention-201311060444,,,,,,,
9/11/13,7/11/13,10/11/13,Essential,1050.5,43.56020942,34.86910995,10.05235602,11.51832461,,,,52.4,47.6,,,,,,,,,
9/11/13,8/11/13,10/11/13,Newspoll,1140,45,32,12,11,,,,53,47,5,Newspoll PDF,,,,,,,
16/11/13,14/11/13,17/11/13,Essential,1037.3,44.6447508,35.94909862,8.589607635,10.81654295,,,,52.8,47.2,,,,,,,,,
17/11/13,16/11/13,17/11/13,Morgan,2005,42.5,32.5,11,9,5,,,51,49,1,http://www.roymorgan.com/findings/5306-morgan-poll-federal-voting-intention-november-18-2013-201311180454,,,,,,,
21/11/13,21/11/13,21/11/13,ReachTEL,3971,43.8,34.2,9.8,6.7,6.6,,,51,49,,https://www.reachtel.com.au/blog/7-news-national-poll-21november2013,,,,,,,
22/11/13,21/11/13,24/11/13,Nielsen,1400,41,37,11,11,,,,48,52,,,,,,,,,
23/11/13,21/11/13,24/11/13,Essential,1013.1,44.51682953,35.83061889,8.903365907,10.74918567,,,,51.7,48.3,,,,,,,,,
23/11/13,22/11/13,24/11/13,Newspoll,1133,43,35,10,12,,,,52,48,6,Newspoll PDF,,,,,,,
30/11/13,28/11/13,1/12/13,Essential,1065.9,43.78563284,36.83010262,7.63968073,11.74458381,,,,51.3,48.7,,,,,,,,,
1/12/13,30/11/13,1/12/13,Morgan,2018,41.5,38.5,8.5,8,3.5,,,48.5,51.5,1,http://www.roymorgan.com/findings/5329-federal-voting-intention-december-2-2013-201312020313,,,,,,,
7/12/13,5/12/13,8/12/13,Essential,1086.8,44.02834008,36.94331984,7.995951417,11.03238866,,,,51.3,48.7,,,,,,,,,
7/12/13,6/12/13,8/12/13,Newspoll,1149,40,38,9,13,,,,48,52,6,Newspoll PDF,,,,,,,
8/12/13,7/12/13,15/12/13,Morgan,2879,40.5,38.5,10,7.5,3.5,,,47.5,52.5,1,http://www.roymorgan.com/findings/5353-federal-voting-intention-december-16-2013-201312160613,,,,,,,
14/12/13,12/12/13,15/12/13,Essential,1069.2,43.51851852,37.75720165,6.790123457,11.93415638,,,,51,49,,,,,,,,,
