Start Date,End Date,Pollster,Scope,Sample,L-NP,ALP,GRN,PHON,NXT,OTH,L-NP 2pp,ALP 2pp,L-NP_respondent_allocate_preferences,ALP_allocate_preferences,uncommitted,source
28/6/16,10/7/16,Essential Research (two-week),NAT,2000,41,36,10,,3,,49,51,,,,
5/7/16,17/7/16,Essential Research (two-week),NAT,2000,39,36,10,,4,,49,51,,,,
13/7/16,24/7/16,Essential Research (two-week),NAT,1910,39,37,10,,4,,48,52,,,,
21/7/16,1/8/16,Essential Research (two-week),NAT,1817,39,37,10,,4,,48,52,,,,
29/7/16,8/8/16,Essential Research (two-week),NAT,1795,40,37,10,,4,,48,52,,,,
5/8/16,15/8/16,Essential Research (two-week),NAT,1791,39,37,10,,4,,48,52,,,,
12/8/16,22/8/16,Essential Research (two-week),NAT,1802,39,36,10,,4,,49,51,,,,
25/8/16,28/8/16,Newspoll,NAT,1696,41,36,9,,,,50,50,,,,
19/8/16,29/8/16,Essential Research (two-week),NAT,1797,40,37,10,,4,,49,51,,,,
26/8/16,5/9/16,Essential Research (two-week),NAT,1834,39,37,10,5,3,,48,52,,,,
8/9/16,11/9/16,Newspoll,NAT,1680,41,36,9,,,,50,50,,,5,Factiva
2/9/16,12/9/16,Essential Research (two-week),NAT,1856,38,37,10,5,4,,48,52,,,,
9/9/16,19/9/16,Essential Research (two-week),NAT,1830,37,37,10,6,4,,48,52,,,,
22/9/16,25/9/16,Newspoll,NAT,1662,41,36,9,,,,48,52,,,5,Factiva
16/9/16,26/9/16,Essential Research (two-week),NAT,1800,39,36,9,6,3,,48,52,,,,
23/9/16,3/10/16,Essential Research (two-week),NAT,1780,40,36,8,6,3,,49,51,,,,
6/10/16,9/10/16,Newspoll,NAT,1622,39,36,10,,,,48,52,,,,
30/9/16,10/10/16,Essential Research (two-week),NAT,1769,38,36,10,6,3,,48,52,,,,
7/10/16,17/10/16,Essential Research (two-week),NAT,1775,37,37,11,5,3,,47,53,,,,
20/10/16,23/10/16,Newspoll,NAT,1673,39,37,10,,,,48,52,,,6,Factiva
14/10/16,24/10/16,Essential Research (two-week),NAT,1783,38,37,10,6,3,,48,52,,,,
21/10/16,31/10/16,Essential Research (two-week),NAT,1786,38,37,10,6,2,,48,52,,,,
3/11/16,6/11/16,Newspoll,NAT,1846,39,38,10,,,,47,53,,,6,Factiva
28/10/16,7/11/16,Essential Research (two-week),NAT,1791,38,37,10,6,3,,47,53,,,,
4/11/16,14/11/16,Essential Research (two-week),NAT,1786,37,37,11,6,3,,47,53,,,,
17/11/16,20/11/16,Newspoll,NAT,1846,38,38,10,,,,47,53,,,6,Factiva
11/11/16,21/11/16,Essential Research (two-week),NAT,1813,38,37,10,6,3,,48,52,,,,
24/11/16,26/11/16,Ipsos,NAT,1403,36,30,16,,,,49,51,49,51,,
18/11/16,28/11/16,Essential Research (two-week),NAT,1842,39,36,9,7,3,,49,51,,,,
24/11/16,5/12/16,Essential Research (two-week),NAT,1833,38,36,9,8,3,,48,52,,,,
1/12/16,4/12/16,Newspoll,NAT,1629,39,36,10,,,,48,52,,,6,Factiva
2/12/16,12/12/16,Essential Research (two-week),NAT,1796,37,37,9,7,3,,47,53,,,,
8/12/16,18/12/16,Essential Research (two-week),NAT,1779,37,37,10,8,3,,47,53,,,,
20/1/17,23/1/17,Essential Research (two-week),NAT,1813,35,37,10,9,3,,46,54,,,,
27/1/17,30/1/17,Essential Research (two-week),NAT,1790,35,37,9,10,3,,46,54,,,,
26/1/17,5/2/17,Essential Research (two-week),NAT,1785,36,37,8,10,3,,47,53,,,,
2/2/17,5/2/17,Newspoll,NAT,1734,35,36,10,,,,46,54,,,,
2/2/17,12/2/17,Essential Research (two-week),NAT,1793,36,35,9,10,3,,48,52,,,,
9/2/17,19/2/17,Essential Research (two-week),NAT,1803,36,34,10,10,4,,48,52,,,,
23/2/17,26/2/17,Newspoll,NAT,1582,34,37,10,10,,,45,55,,,,
16/2/17,27/2/17,Essential Research (two-week),NAT,2000,37,37,9,9,3,,47,53,,,,
21/2/17,6/3/17,Essential Research (two-week),NAT,1786,37,37,9,9,3,,47,53,,,,
28/2/17,13/3/17,Essential Research (two-week),NAT,1792,35,36,9,11,3,,47,53,,,,
8/3/17,20/3/17,Essential Research (two-week),NAT,1803,34,37,9,10,3,,45,55,,,,
16/3/17,19/3/17,Newspoll,NAT,1819,37,35,9,10,,,48,52,,,,
22/3/17,25/3/17,Ipsos,NAT,1400,33,34,16,,,,45,55,44,56,,
15/3/17,26/3/17,Essential Research (two-week),NAT,2000,35,37,10,8,4,,46,54,,,,
22/3/17,2/4/17,Essential Research (two-week),NAT,2000,37,36,10,8,3,,47,53,,,,
30/3/17,2/4/17,Newspoll,NAT,1708,36,36,10,10,,,47,53,,,,
29/3/17,9/4/17,Essential Research (two-week),NAT,2000,37,36,10,8,3,,47,53,,,,
5/4/17,16/4/17,Essential Research (two-week),NAT,2000,36,37,10,8,3,,46,54,,,,
12/4/17,23/4/17,Essential Research (two-week),NAT,2000,37,36,10,8,3,,47,53,,,,
20/4/17,23/4/17,Newspoll,NAT,1686,36,35,9,10,,,48,52,,,,
20/4/17,1/5/17,Essential Research (two-week),NAT,2000,38,37,9,7,3,,47,53,,,,
27/4/17,8/5/17,Essential Research (two-week),NAT,2000,37,38,10,6,3,,46,54,,,,
10/5/17,13/5/17,Ipsos,NAT,1401,37,35,13,,,,47,53,47,53,,
