fielding.start,fielding.end,pollster,Scope,sample,Coalition.total.primary,Labor.primary,Green.primary,OneNation.primary,XenophonCentreAlliance.primary,UAP.PUP.primary,CON,KattersAustraliaParty.primary,Other.primary,Coalition.TPP.reported,Labor.TPP.reported,Coalition.TPP.voterallocation,Labor.TPP.voterallocation,Dkrefused.reported,DKrefused.combined,source,interview.mode
28/6/16,10/7/16,Essential,NAT,2000,41,36,10,,3,,,,,49,51,,,no,,,online
5/7/16,17/7/16,Essential,NAT,2000,39,36,10,,4,,,,,49,51,,,no,,,online
13/7/16,24/7/16,Essential,NAT,1910,39,37,10,,4,,,,,48,52,,,no,,,online
21/7/16,1/8/16,Essential,NAT,1817,39,37,10,,4,,,,,48,52,,,no,,,online
29/7/16,8/8/16,Essential,NAT,1795,40,37,10,,4,,,,,48,52,,,no,,,online
5/8/16,15/8/16,Essential,NAT,1791,39,37,10,,4,,,,,48,52,,,no,,,online
12/8/16,22/8/16,Essential,NAT,1802,39,36,10,,4,,,,,49,51,,,no,,,online
25/8/16,28/8/16,Newspoll (online & robo),NAT,1696,41,36,9,,,,,,,50,50,,,yes,,,online & IVR
19/8/16,29/8/16,Essential,NAT,1797,40,37,10,,4,,,,,49,51,,,no,,,online
26/8/16,5/9/16,Essential,NAT,1834,39,37,10,5,3,,,,,48,52,,,no,,,online
8/9/16,11/9/16,Newspoll (online & robo),NAT,1680,41,36,9,,,,,,,50,50,,,yes,5,Factiva,online & IVR
2/9/16,12/9/16,Essential,NAT,1856,38,37,10,5,4,,,,,48,52,,,no,,,online
9/9/16,19/9/16,Essential,NAT,1830,37,37,10,6,4,,,,,48,52,,,no,,,online
22/9/16,25/9/16,Newspoll (online & robo),NAT,1662,41,36,9,,,,,,,48,52,,,yes,5,Factiva,online & IVR
16/9/16,26/9/16,Essential,NAT,1800,39,36,9,6,3,,,,,48,52,,,no,,,online
23/9/16,3/10/16,Essential,NAT,1780,40,36,8,6,3,,,,,49,51,,,no,,,online
6/10/16,9/10/16,Newspoll (online & robo),NAT,1622,39,36,10,,,,,,,48,52,,,yes,,,online & IVR
30/9/16,10/10/16,Essential,NAT,1769,38,36,10,6,3,,,,,48,52,,,no,,,online
7/10/16,17/10/16,Essential,NAT,1775,37,37,11,5,3,,,,,47,53,,,no,,,online
20/10/16,23/10/16,Newspoll (online & robo),NAT,1673,39,37,10,,,,,,,48,52,,,yes,6,Factiva,online & IVR
14/10/16,24/10/16,Essential,NAT,1783,38,37,10,6,3,,,,,48,52,,,no,,,online
21/10/16,31/10/16,Essential,NAT,1786,38,37,10,6,2,,,,,48,52,,,no,,,online
3/11/16,6/11/16,Newspoll (online & robo),NAT,1846,39,38,10,,,,,,,47,53,,,yes,6,Factiva,online & IVR
28/10/16,7/11/16,Essential,NAT,1791,38,37,10,6,3,,,,,47,53,,,no,,,online
4/11/16,14/11/16,Essential,NAT,1786,37,37,11,6,3,,,,,47,53,,,no,,,online
17/11/16,20/11/16,Newspoll (online & robo),NAT,1846,38,38,10,,,,,,,47,53,,,yes,6,Factiva,online & IVR
11/11/16,21/11/16,Essential,NAT,1813,38,37,10,6,3,,,,,48,52,,,no,,,online
24/11/16,26/11/16,Ipsos,NAT,1403,36,30,16,,,,,,18,49,51,49,51,yes,4,https://www.ipsos.com/en-au/voter-apathy-towards-major-party-leadership-continues-labor-ahead-voting-intention,"Telephone, using random digit dialling; 38% mobile"
18/11/16,28/11/16,Essential,NAT,1842,39,36,9,7,3,,,,,49,51,,,no,,,online
1/12/16,4/12/16,Newspoll (online & robo),NAT,1629,39,36,10,,,,,,,48,52,,,yes,6,Factiva,online & IVR
24/11/16,5/12/16,Essential,NAT,1833,38,36,9,8,3,,,,,48,52,,,no,,,online
2/12/16,12/12/16,Essential,NAT,1796,37,37,9,7,3,,,,,47,53,,,no,,,online
8/12/16,18/12/16,Essential,NAT,1779,37,37,10,8,3,,,,,47,53,,,no,,,online
12/1/17,12/1/17,ReachTEL,NAT,2126,37.1,35,9.8,10.6,,,,,7.5,47.9,52.1,46,54,,7.8,https://www.pollbludger.net/2017/01/16/reachtel-54-46-labor/?,
20/1/17,23/1/17,Essential,NAT,1813,35,37,10,9,3,,,,,46,54,,,no,,,online
27/1/17,30/1/17,Essential,NAT,1790,35,37,9,10,3,,,,,46,54,,,no,,,online
26/1/17,5/2/17,Essential,NAT,1785,36,37,8,10,3,,,,,47,53,,,no,,,online
2/2/17,5/2/17,Newspoll (online & robo),NAT,1734,35,36,10,,,,,,,46,54,,,yes,,,online & IVR
2/2/17,12/2/17,Essential,NAT,1793,36,35,9,10,3,,,,,48,52,,,no,,,online
