Pollster,Commissioner,APC_compliant,PublicationDate,FieldedStart,FieldedEnd,Fielded_Days,Method,SampleSize,EffectiveSampleSize,MarginOfError,2PP_calc_method,LNP,ALP,GRN,PHON,UAP,OTHER,UND,ALP_2PP,LNP_2PP,ALP_2PPplus_Essential,LNP_2PPplus_Essential,UND_2PPplus_Essential,DisclosureStatement,OriginalStory,Notes,,Link,Link 2
YouGov Galaxy,The Australian,Yes,13/3/2022,9/3/2022,12/3/2022,4,Online,1520,999,3.1,Previous preference flows,35,41,8,3,3,10,7,55,45,,,,https://commercial.yougov.com/rs/464-VHH-988/images/yougov-au-220305-Public-Polling-Methodology-Statement-March-2022.pdf,,,,,
YouGov Galaxy,The Australian,Yes,28/2/2022,23/2/2022,26/2/2022,4,Online,1525,1074,3,Previous preference flows,35,41,9,3,4,8,8,55,45,,,,https://commercial.yougov.com/rs/464-VHH-988/images/yougov-au-220212-Public-Polling-Methodology-Statement.pdf,https://www.theaustralian.com.au/nation/newspoll-labor-still-ahead-but-the-gap-is-narrowing/news-story/07b6099fb36eddb9f119cc0c2889081d,First time UAP result has been separately reported (with corresponding drop in OTHER first preference),,,
YouGov Galaxy,The Australian,Yes,14/2/2022,9/2/2022,12/2/2022,4,Online,1526,1011,3.1,Previous preference flows,34,41,8,3,,14,7,55,45,,,,https://commercial.yougov.com/rs/464-VHH-988/images/yougov-au-220208-Public-Polling-Methodology-Statement-february-2022.pdf,https://www.theaustralian.com.au/nation/newspoll-faith-in-morrison-withstands-the-storm/news-story/b08dd547cceb4a339e64f623ec978b35,,,,
YouGov Galaxy,The Australian,Yes,31/1/2022,25/1/2022,28/1/2022,4,Online,1526,1071,3,Previous preference flows,34,41,11,3,,11,7,56,44,,,,https://commercial.yougov.com/rs/464-VHH-988/images/yougov-apac-220103-First-Public-Polling-Methodology-Statement-January-2022.pdf,,,,,
YouGov Galaxy,The Australian,Yes,12/6/2021,1/12/2021,4/12/2021,4,Online,1518,990,3.1,Previous preference flows,36,38,10,3,,13,7,53,47,,,,https://commercial.yougov.com/rs/464-VHH-988/images/211201%20Public%20Polling%20Methodology%20Statement.pdf,https://www.theaustralian.com.au/nation/newspoll-labor-favourite-with-voters-to-defeat-scott-morrisons-government-in-federal-election/news-story/c338c5950f457b1e02a86607d8d51d51,,,,
YouGov Galaxy,The Australian,Yes,15/11/2021,10/11/2021,13/11/2021,4,Online,1524,1083,3,Previous preference flows,37,38,11,2,,12,8,53,47,,,,https://commercial.yougov.com/rs/464-VHH-988/images/211104%20Public%20Polling%20Methodology%20Statement.pdf,https://www.theaustralian.com.au/nation/newspoll-coalition-claws-back-primary-support-from-rightwing-parties/news-story/37bef1892aa7095b6981d27571a76d82,,,,
YouGov Galaxy,The Australian,Yes,25/10/2021,20/10/2021,23/10/2021,4,Online,1515,1057,3,Previous preference flows,35,38,11,3,,13,7,54,46,,,,https://commercial.yougov.com/rs/464-VHH-988/images/211007%20Public%20Polling%20Methodology%20Statement.pdf,https://www.theaustralian.com.au/nation/politics/newspoll-support-slumps-as-scott-morrison-leaves-for-glasgow/news-story/ebc8d809824deda8446ad7066d8f3a47,,,,
YouGov Galaxy,The Australian,Yes,4/10/2021,29/9/2021,2/10/2021,4,Online,1545,1035,3.1,Previous preference flows,37,37,11,2,,13,7,53,47,,,,https://commercial.yougov.com/rs/464-VHH-988/images/210905%20Public%20Polling%20Methodology%20Statement.pdf,https://www.theaustralian.com.au/nation/newspoll-more-voters-turning-towards-the-fringes/news-story/24785a84fd655fdf0d0756e3a9a47bf3,,,,
YouGov Galaxy,The Australian,Yes,20/9/2021,15/9/2021,18/9/2021,4,Online,2144,1325,2.7,Previous preference flows,37,38,10,3,,12,8,53,47,,,,https://commercial.yougov.com/rs/464-VHH-988/images/210904%20Public%20Polling%20Methodology%20Statement.pdf,,,,,
YouGov Galaxy,The Australian,Yes,30/8/2021,25/8/2021,28/8/2021,4,Online,1528,1138,2.9,Previous preference flows,36,40,10,3,,11,8,54,46,,,,https://commercial.yougov.com/rs/464-VHH-988/images/210807%20Public%20Polling%20Methodology%20Statement.pdf,https://www.theaustralian.com.au/nation/newspoll-coalitions-fortunes-fall-as-scott-morrison-on-the-rise/news-story/31cb207ab4e86addf29b166f5bc57f7a,,,,
YouGov Galaxy,The Australian,Yes,9/8/2021,4/8/2021,7/8/2021,4,Online,1527,1078,3,Previous preference flows,39,39,11,3,,8,8,53,47,,,,https://commercial.yougov.com/rs/464-VHH-988/images/210802%20Public%20Polling%20Methodology%20Statement.pdf,https://www.theaustralian.com.au/nation/politics/newspoll-delta-debacle-drives-scott-morrisons-ratings-to-new-low/news-story/213477b7f111f4333a5e46c89fc43e3d,,,,
YouGov Galaxy,The Australian,Yes,19/7/2021,14/7/2021,17/7/2021,4,Online,1506,1116,2.9,Previous preference flows,39,39,10,3,,9,7,53,47,,,,https://commercial.yougov.com/rs/464-VHH-988/images/210707%20Public%20Polling%20Methodology%20Statement.pdf,https://www.theaustralian.com.au/nation/politics/newspoll-coalition-pm-marked-down-as-vaccine-frustration-builds/news-story/31c5e300a481a59013c06770b36a2d09,,,,
YouGov Galaxy,The Australian,Yes,28/6/2021,23/6/2021,26/6/2021,4,Online,1513,1020,3.1,Previous preference flows,41,37,11,3,,8,5,51,49,,,,https://docs.cdn.yougov.com/apdxz76597/210607%20Public%20Polling%20Methodology%20Statement.pdf,https://www.theaustralian.com.au/nation/politics/newspoll-voters-mark-down-scott-morrisons-handling-of-covid19/news-story/b3513ea008a0b26f89b2f6afa7673f6f,,,,
